best rewards =-8.099999999999998 for episode=1
best rewards =-8.099999999999998 for episode=1
best rewards =-7.499999999999998 for episode=2
best rewards =-6.899999999999999 for episode=3
best rewards =-6.299999999999999 for episode=5
best rewards =-5.699999999999998 for episode=11
best rewards =-4.499999999999998 for episode=12
best rewards =-8.099999999999998 for episode=1
best rewards =-7.499999999999998 for episode=5
best rewards =-6.899999999999999 for episode=26
best rewards =-5.099999999999998 for episode=35
best reward = -8.099999999999998 for episode=1
best reward = -6.299999999999999 for episode=2
best reward = -5.099999999999998 for episode=9
best reward = -4.499999999999998 for episode=30
best reward = -2.699999999999998 for episode=32
best reward = -0.8999999999999986 for episode=69
best reward = 2.8999999999999986 for episode=193
best reward = 5.899999999999993 for episode=288
best reward = 6.099999999999985 for episode=692
best reward = 6.999999999999984 for episode=707
best reward = 9.099999999999971 for episode=761
best reward = 13.999999999999963 for episode=878
best reward = -7.499999999999998 for episode=1
best reward = -6.899999999999999 for episode=2
best reward = -6.299999999999999 for episode=15
best reward = -5.099999999999998 for episode=20
best reward = -4.499999999999998 for episode=27
best reward = -2.699999999999998 for episode=40
best reward = -0.8999999999999986 for episode=70
best reward = 3.099999999999998 for episode=120
best reward = 3.1999999999999975 for episode=322
best reward = 3.599999999999996 for episode=645
best reward = 6.499999999999979 for episode=769
best reward = 9.199999999999973 for episode=5624
